Reference,QTY,Value,Elecrow Part #,Arrow Part #,Mouser Part #,Description,Footprint,Datasheet
BT1,1,Battery JST-PH,,S2B-PH-SM4-TB,S2B-PH-SM4-TB,2-pin JST-PH battery connector,JST_PH;2-pin;straight,http://www.jst-mfg.com/product/pdf/eng/ePH.pdf
C1;C10;C17;C21;C24,5,10uF,C15850,GRM21BR71A106KA73L,LMK212B7106KG-TD,X7R,0805(2012),http://datasheet.octopart.com/LMK212B7106KG-TD-Taiyo-Yuden-datasheet-8857305.pdf
C2,1,33nF,C1739,CL05B333KO5NNNC,08055C333KAT4A,"C0G or X7R, Audio Filter",0805(2012),http://datasheet.octopart.com/08055C333KAT4A-AVX-datasheet-12587061.pdf
C3,1,47uF,,TAJA476K006SNJV,GRM31CR60J476ME19L,X5R/X7R or Tantalum,1206(3216),http://datasheet.octopart.com/GRM31CR60J476ME19L-Murata-datasheet-8328519.pdf
C4,1,10uF,C15850,TAJR106M006RNJ,LMK212B7106KG-TD,Audio Filter; Tantalum or X7R,0805(2012),http://datasheet.octopart.com/LMK212B7106KG-TD-Taiyo-Yuden-datasheet-8857305.pdf
C5;C20;C23,3,22uF,C45783,CL21A226MQQNNNE,GRM21BR60J226ME39L,Y5V-X7R,0805(2012),http://datasheet.octopart.com/GRM21BR60J226ME39L-Murata-datasheet-7563493.pdf
C6;C7,2,1uF,C28323,CL21B105KAFNNNE,CC0805ZRY5V7BB105,Audio Filter; Tantalum or X7R,0805(2012),http://datasheet.octopart.com/CC0805ZRY5V7BB105-Yageo-datasheet-68297955.pdf
C9,1,4.7uF,C1779,CL21B475KQFNNNE,C2012X7R1A475M125AC,X7R,0805(2012),http://datasheet.octopart.com/C2012X7R1A475M125AC-TDK-datasheet-10978788.pdf
C11,1,47uF,,TAJA476K006SNJV,TCJA476M006R0200,Tantalum 47uF-100uF 6V+,1206(3216),http://datasheet.octopart.com/TCJA476M006R0200-AVX-datasheet-10028634.pdf
C12;C13,2,220pF,C53172,CL21C221JBANNNC,CC0805JRX7R9BB221,"C0G or X7R, Audio Filter",0805(2012),http://datasheet.octopart.com/CC0805JRX7R9BB221-Yageo-datasheet-12526321.pdf
